connectivity,sync_interval_minutes,updates_per_display_day,conflict_bias,high_risk_update_share,policy,runs,events_total,conflicts,high_risk_conflicts,silent_overwrites,high_risk_silent_overwrites,manual_reviews,high_risk_manual_reviews,accepted_updates,sync_messages,local_superseded_updates,stale_entity_display_minutes,stale_ratio,end_stale_pairs
good,1,20,0.01,0.15,last_write_wins,60,158.666667,0.416667,0.066667,0.416667,0.066667,0.0,0.0,158.266667,1193.266667,0.016667,982.75,0.002651,1.383333
good,1,20,0.01,0.15,manual_review_all,60,158.666667,0.416667,0.066667,0.0,0.0,0.416667,0.066667,158.116667,1192.55,0.016667,982.066667,0.00265,1.383333
good,1,20,0.01,0.3,cloud_preferred,60,158.666667,0.333333,0.116667,0.333333,0.116667,0.0,0.0,158.233333,1193.683333,0.0,969.766667,0.00258,2.416667
good,1,20,0.01,0.3,display_preferred,60,158.666667,0.333333,0.116667,0.333333,0.116667,0.0,0.0,158.566667,1195.933333,0.0,971.45,0.002584,2.416667
good,1,20,0.01,0.3,domain_aware,60,158.666667,0.333333,0.116667,0.216667,0.0,0.116667,0.116667,158.266667,1193.783333,0.0,969.866667,0.002581,2.416667
good,1,20,0.01,0.3,last_write_wins,60,158.666667,0.333333,0.116667,0.333333,0.116667,0.0,0.0,158.316667,1194.033333,0.0,969.966667,0.002581,2.416667
good,1,20,0.01,0.3,manual_review_all,60,158.666667,0.333333,0.116667,0.0,0.0,0.333333,0.116667,158.233333,1193.683333,0.0,969.766667,0.00258,2.416667
good,1,20,0.01,0.5,cloud_preferred,60,158.666667,0.316667,0.216667,0.316667,0.216667,0.0,0.0,158.2,1191.3,0.083333,917.6,0.002476,2.683333
good,1,20,0.01,0.5,display_preferred,60,158.666667,0.316667,0.216667,0.316667,0.216667,0.0,0.0,158.516667,1193.7,0.083333,920.516667,0.002482,2.683333
good,1,20,0.01,0.5,domain_aware,60,158.666667,0.316667,0.216667,0.1,0.0,0.216667,0.216667,158.233333,1191.6,0.083333,918.116667,0.002477,2.683333
good,1,20,0.01,0.5,last_write_wins,60,158.666667,0.316667,0.216667,0.316667,0.216667,0.0,0.0,158.266667,1191.733333,0.083333,918.25,0.002477,2.683333
good,1,20,0.01,0.5,manual_review_all,60,158.666667,0.316667,0.216667,0.0,0.0,0.316667,0.216667,158.2,1191.3,0.083333,917.6,0.002476,2.683333
good,1,20,0.05,0.15,cloud_preferred,60,158.666667,0.4,0.0,0.4,0.0,0.0,0.0,158.2,1193.0,0.016667,905.333333,0.00246,1.783333
good,1,20,0.05,0.15,display_preferred,60,158.666667,0.4,0.0,0.4,0.0,0.0,0.0,158.6,1194.983333,0.016667,907.416667,0.002465,1.783333
good,1,20,0.05,0.15,domain_aware,60,158.666667,0.4,0.0,0.4,0.0,0.0,0.0,158.4,1193.666667,0.016667,905.933333,0.002462,1.783333
good,1,20,0.05,0.15,last_write_wins,60,158.666667,0.4,0.0,0.4,0.0,0.0,0.0,158.4,1193.666667,0.016667,905.933333,0.002462,1.783333
good,1,20,0.05,0.15,manual_review_all,60,158.666667,0.4,0.0,0.0,0.0,0.4,0.0,158.2,1193.0,0.016667,905.333333,0.00246,1.783333
good,1,20,0.05,0.3,cloud_preferred,60,158.666667,0.45,0.15,0.45,0.15,0.0,0.0,158.05,1191.783333,0.116667,977.916667,0.002598,2.4
good,1,20,0.05,0.3,display_preferred,60,158.666667,0.45,0.15,0.45,0.15,0.0,0.0,158.5,1194.316667,0.116667,981.266667,0.002605,2.4
good,1,20,0.05,0.3,domain_aware,60,158.666667,0.45,0.15,0.3,0.0,0.15,0.15,158.216667,1192.516667,0.116667,978.55,0.002599,2.4
good,1,20,0.05,0.3,last_write_wins,60,158.666667,0.45,0.15,0.45,0.15,0.0,0.0,158.316667,1193.033333,0.116667,979.25,0.002601,2.4
good,1,20,0.05,0.3,manual_review_all,60,158.666667,0.45,0.15,0.0,0.0,0.45,0.15,158.05,1191.783333,0.116667,977.916667,0.002598,2.4
good,1,20,0.05,0.5,cloud_preferred,60,158.666667,0.35,0.233333,0.35,0.233333,0.0,0.0,158.116667,1192.7,0.066667,948.233333,0.002538,1.7
good,1,20,0.05,0.5,display_preferred,60,158.666667,0.35,0.233333,0.35,0.233333,0.0,0.0,158.466667,1194.533333,0.066667,949.983333,0.002543,1.716667
good,1,20,0.05,0.5,domain_aware,60,158.666667,0.35,0.233333,0.116667,0.0,0.233333,0.233333,158.166667,1192.883333,0.066667,948.4,0.002539,1.7
good,1,20,0.05,0.5,last_write_wins,60,158.666667,0.35,0.233333,0.35,0.233333,0.0,0.0,158.25,1192.983333,0.066667,948.5,0.002539,1.7
good,1,20,0.05,0.5,manual_review_all,60,158.666667,0.35,0.233333,0.0,0.0,0.35,0.233333,158.116667,1192.7,0.066667,948.233333,0.002538,1.7
good,1,20,0.1,0.15,cloud_preferred,60,158.666667,0.233333,0.016667,0.233333,0.016667,0.0,0.0,158.266667,1194.233333,0.066667,960.55,0.002601,1.866667
good,1,20,0.1,0.15,display_preferred,60,158.666667,0.233333,0.016667,0.233333,0.016667,0.0,0.0,158.5,1195.633333,0.066667,961.6,0.002604,1.866667
good,1,20,0.1,0.15,domain_aware,60,158.666667,0.233333,0.016667,0.216667,0.0,0.016667,0.016667,158.35,1194.4,0.066667,960.716667,0.002602,1.866667
